"","Year","All Other","Ambush - No Warning","Attempting Other Arrests","Burglaries in Progress or Pursuing Burglary Suspects","Civil Disorder","Handling Persons with Mental Illness","Handling, Transporting, Custody of Prisoners","Investigating Suspicious Persons or Circumstances","Responding to Disturbance Calls","Robberies in Progress or Pursuing Robbery Suspects","Traffic Pursuits and Stops"
"1",1995,4871,219,9322,653,590,694,4890,5423,15688,612,4546
"2",1996,4223,206,8546,692,512,644,4393,4072,12030,630,3465
"3",1997,5037,172,8474,674,590,758,4550,5039,13588,614,4265
"4",1998,5418,202,9394,617,520,759,4694,5302,14344,570,4843
"5",1999,4734,156,7925,628,378,615,4486,5060,13478,365,4834
"6",2000,4906,167,7695,639,636,607,4483,5109,14315,436,4947
"7",2001,5193,148,7561,690,483,744,4703,5173,15162,493,5192
"8",2002,5184,165,7458,659,507,794,4786,4933,14462,398,5017
"9",2003,5246,143,7300,618,609,727,4283,4703,13584,431,4669
"10",2004,5241,133,7464,654,583,756,4552,4629,14253,439,4735
"11",2005,5383,124,7489,647,573,786,4133,4476,13896,419,4579
"12",2006,5841,143,7555,703,601,810,4091,4797,14605,426,4784
"13",2007,5996,151,7393,730,647,829,4435,4614,15261,408,4842
"14",2008,6279,167,7487,713,634,819,4412,4766,15361,470,4726
"15",2009,5959,193,7224,705,683,892,4550,4771,15403,468,4178
"16",2010,5791,202,6637,789,657,863,4550,4369,15189,387,3666
"17",2011,5364,155,6421,611,601,919,4349,4133,14018,430,3375
"18",2012,5201,207,6595,600,622,986,4508,4035,13905,389,3270
"19",2013,5406,171,6596,656,443,987,4126,3948,12773,386,3275
"20",2014,4208,126,6313,649,578,942,4234,2546,13051,374,3019
"21",2015,5495,186,6501,686,530,1313,3979,3920,13739,322,3068
"22",2016,6300,224,7497,613,673,1480,4919,4502,15275,438,3453
"23",2017,5875,167,5775,573,520,1074,3882,3524,11220,305,2685
"24",2018,5045,157,6624,541,385,1231,4162,3841,12394,362,2661
"25",2019,4555,138,6121,408,329,1072,3930,3478,10803,268,2411
