"","DATA_YEAR","STATE_ABBR","officersAssaulted"
"1","'00-'04","AK",644
"2","'00-'04","AL",1450
"3","'00-'04","AR",867
"4","'00-'04","AZ",9139
"5","'00-'04","CA",29473
"6","'00-'04","CO",2982
"7","'00-'04","CT",2366
"8","'00-'04","DC",147
"9","'00-'04","DE",1127
"10","'00-'04","FL",24132
"11","'00-'04","GA",2666
"12","'00-'04","HI",1051
"13","'00-'04","IA",2021
"14","'00-'04","ID",906
"15","'00-'04","IL",0
"16","'00-'04","IN",5550
"17","'00-'04","KS",3405
"18","'00-'04","KY",1383
"19","'00-'04","LA",4419
"20","'00-'04","MA",2856
"21","'00-'04","MD",6433
"22","'00-'04","ME",1114
"23","'00-'04","MI",4282
"24","'00-'04","MN",321
"25","'00-'04","MO",9881
"26","'00-'04","MS",1310
"27","'00-'04","MT",56
"28","'00-'04","NB",789
"29","'00-'04","NC",7827
"30","'00-'04","ND",215
"31","'00-'04","NH",892
"32","'00-'04","NJ",14598
"33","'00-'04","NM",2487
"34","'00-'04","NV",2081
"35","'00-'04","NY",3898
"36","'00-'04","OH",6224
"37","'00-'04","OK",3498
"38","'00-'04","OR",1685
"39","'00-'04","PA",12957
"40","'00-'04","RI",2474
"41","'00-'04","SC",2483
"42","'00-'04","SD",195
"43","'00-'04","TN",7105
"44","'00-'04","TX",17877
"45","'00-'04","UT",728
"46","'00-'04","VA",3824
"47","'00-'04","VT",0
"48","'00-'04","WA",4505
"49","'00-'04","WI",2956
"50","'00-'04","WV",111
"51","'00-'04","WY",207
"52","'05-'09","AK",1156
"53","'05-'09","AL",1028
"54","'05-'09","AR",1334
"55","'05-'09","AZ",9241
"56","'05-'09","CA",31731
"57","'05-'09","CO",3182
"58","'05-'09","CT",2648
"59","'05-'09","DC",1299
"60","'05-'09","DE",1368
"61","'05-'09","FL",22629
"62","'05-'09","GA",2704
"63","'05-'09","HI",1180
"64","'05-'09","IA",2093
"65","'05-'09","ID",1075
"66","'05-'09","IL",3350
"67","'05-'09","IN",5930
"68","'05-'09","KS",3884
"69","'05-'09","KY",2547
"70","'05-'09","LA",3571
"71","'05-'09","MA",674
"72","'05-'09","MD",6615
"73","'05-'09","ME",1028
"74","'05-'09","MI",4363
"75","'05-'09","MN",811
"76","'05-'09","MO",8815
"77","'05-'09","MS",993
"78","'05-'09","MT",590
"79","'05-'09","NB",912
"80","'05-'09","NC",8468
"81","'05-'09","ND",322
"82","'05-'09","NH",1209
"83","'05-'09","NJ",12742
"84","'05-'09","NM",3229
"85","'05-'09","NV",2646
"86","'05-'09","NY",2086
"87","'05-'09","OH",2292
"88","'05-'09","OK",3980
"89","'05-'09","OR",1605
"90","'05-'09","PA",15236
"91","'05-'09","RI",1674
"92","'05-'09","SC",2215
"93","'05-'09","SD",375
"94","'05-'09","TN",7258
"95","'05-'09","TX",16756
"96","'05-'09","UT",2123
"97","'05-'09","VA",3537
"98","'05-'09","VT",171
"99","'05-'09","WA",3685
"100","'05-'09","WI",4199
"101","'05-'09","WV",235
"102","'05-'09","WY",233
"103","'10-'14","AK",1809
"104","'10-'14","AL",716
"105","'10-'14","AR",520
"106","'10-'14","AZ",8965
"107","'10-'14","CA",31776
"108","'10-'14","CO",2966
"109","'10-'14","CT",3591
"110","'10-'14","DC",2250
"111","'10-'14","DE",1204
"112","'10-'14","FL",17702
"113","'10-'14","GA",2420
"114","'10-'14","HI",890
"115","'10-'14","IA",2047
"116","'10-'14","ID",988
"117","'10-'14","IL",794
"118","'10-'14","IN",5279
"119","'10-'14","KS",2357
"120","'10-'14","KY",3734
"121","'10-'14","LA",2677
"122","'10-'14","MA",1045
"123","'10-'14","MD",4197
"124","'10-'14","ME",704
"125","'10-'14","MI",3927
"126","'10-'14","MN",1535
"127","'10-'14","MO",9027
"128","'10-'14","MS",671
"129","'10-'14","MT",685
"130","'10-'14","NB",730
"131","'10-'14","NC",7553
"132","'10-'14","ND",490
"133","'10-'14","NH",1177
"134","'10-'14","NJ",9560
"135","'10-'14","NM",2992
"136","'10-'14","NV",1362
"137","'10-'14","NY",2748
"138","'10-'14","OH",1262
"139","'10-'14","OK",3215
"140","'10-'14","OR",2312
"141","'10-'14","PA",11310
"142","'10-'14","RI",1717
"143","'10-'14","SC",1414
"144","'10-'14","SD",753
"145","'10-'14","TN",5373
"146","'10-'14","TX",16915
"147","'10-'14","UT",2085
"148","'10-'14","VA",3330
"149","'10-'14","VT",288
"150","'10-'14","WA",3952
"151","'10-'14","WI",2418
"152","'10-'14","WV",947
"153","'10-'14","WY",222
"154","'15-'19","AK",2359
"155","'15-'19","AL",1741
"156","'15-'19","AR",1336
"157","'15-'19","AZ",8889
"158","'15-'19","CA",29220
"159","'15-'19","CO",4565
"160","'15-'19","CT",2369
"161","'15-'19","DC",5856
"162","'15-'19","DE",972
"163","'15-'19","FL",15911
"164","'15-'19","GA",1131
"165","'15-'19","HI",971
"166","'15-'19","IA",1379
"167","'15-'19","ID",1466
"168","'15-'19","IL",382
"169","'15-'19","IN",4750
"170","'15-'19","KS",2723
"171","'15-'19","KY",4077
"172","'15-'19","LA",2501
"173","'15-'19","MA",11386
"174","'15-'19","MD",2743
"175","'15-'19","ME",734
"176","'15-'19","MI",3077
"177","'15-'19","MN",1073
"178","'15-'19","MO",6547
"179","'15-'19","MS",615
"180","'15-'19","MT",1648
"181","'15-'19","NB",221
"182","'15-'19","NC",4601
"183","'15-'19","ND",944
"184","'15-'19","NH",1162
"185","'15-'19","NJ",4600
"186","'15-'19","NM",3118
"187","'15-'19","NV",2005
"188","'15-'19","NY",1135
"189","'15-'19","OH",2252
"190","'15-'19","OK",2921
"191","'15-'19","OR",1973
"192","'15-'19","PA",7302
"193","'15-'19","RI",987
"194","'15-'19","SC",1600
"195","'15-'19","SD",1050
"196","'15-'19","TN",5748
"197","'15-'19","TX",14396
"198","'15-'19","UT",2092
"199","'15-'19","VA",3325
"200","'15-'19","VT",531
"201","'15-'19","WA",5336
"202","'15-'19","WI",2893
"203","'15-'19","WV",788
"204","'15-'19","WY",228
"205","'95-'99","AK",628
"206","'95-'99","AL",517
"207","'95-'99","AR",1310
"208","'95-'99","AZ",8338
"209","'95-'99","CA",24589
"210","'95-'99","CO",2253
"211","'95-'99","CT",3085
"212","'95-'99","DC",499
"213","'95-'99","DE",544
"214","'95-'99","FL",16145
"215","'95-'99","GA",2967
"216","'95-'99","HI",1455
"217","'95-'99","IA",1787
"218","'95-'99","ID",851
"219","'95-'99","IL",0
"220","'95-'99","IN",5773
"221","'95-'99","KS",396
"222","'95-'99","KY",1281
"223","'95-'99","LA",5397
"224","'95-'99","MA",4027
"225","'95-'99","MD",8792
"226","'95-'99","ME",1061
"227","'95-'99","MI",2309
"228","'95-'99","MN",597
"229","'95-'99","MO",9516
"230","'95-'99","MS",1122
"231","'95-'99","MT",6
"232","'95-'99","NB",794
"233","'95-'99","NC",9844
"234","'95-'99","ND",78
"235","'95-'99","NH",590
"236","'95-'99","NJ",15503
"237","'95-'99","NM",2131
"238","'95-'99","NV",1442
"239","'95-'99","NY",16852
"240","'95-'99","OH",9480
"241","'95-'99","OK",3524
"242","'95-'99","OR",2117
"243","'95-'99","PA",10967
"244","'95-'99","RI",2417
"245","'95-'99","SC",1695
"246","'95-'99","SD",187
"247","'95-'99","TN",2803
"248","'95-'99","TX",18927
"249","'95-'99","UT",588
"250","'95-'99","VA",5715
"251","'95-'99","VT",0
"252","'95-'99","WA",5457
"253","'95-'99","WI",1995
"254","'95-'99","WV",1467
"255","'95-'99","WY",186
